n,exec_time_ms,serial,implementation
3,0.0,true,python
3,322.22533226013184,false,python
5,1.0004043579101562,true,python
5,111.07730865478516,false,python
8,148.1037139892578,true,python
8,227.16593742370605,false,python
9,1324.9366283416748,true,python
9,504.35662269592285,false,python
10,13019.217252731323,true,python
10,3644.5817947387695,false,python
11,142351.79662704468,true,python
11,41713.550329208374,false,python
3,0,true,go
3,0,false,go
5,0,true,go
5,0,false,go
8,6,true,go
8,1,false,go
9,51,true,go
9,10,false,go
10,335,true,go
10,88,false,go
11,3850,true,go
11,867,false,go
